chemsys,n_elements,n_entries,status,n_prompts
Hf-Ti,2,16,ok,1
Hf-Yb,2,4,ok,1
Hg-In-Te,3,70,ok,1
Hg-Ir-Li-Y,4,72,ok,1
Hg-K-P,3,85,ok,1
Hg-La-Zn-Zr,4,86,ok,1
Hg-Li-Mo,3,49,ok,1
Hg-Li-Sc,3,58,ok,1
Hg-Mg-Nd-Pt,4,119,ok,1
Hg-Mn-Tl,3,47,ok,1
Hg-Mo-Tc,3,38,ok,2
Hg-Mo-Tc-Y,4,46,ok,1
Hg-Mo-Yb,3,31,ok,1
Hg-Na-Si,3,106,ok,1
Hg-Nb-W,3,37,ok,1
Hg-Ni-Rh,3,44,ok,1
Hg-Pb-Zr,3,47,ok,1
